timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1595243136156,437,POST Login PT,500,Internal Server Error,Thread Group 1-49,text,false,,15021,297,330,330,http://localhost:8084/PersonalTrainer/api/login,437,0,52
1595243136203,394,POST Login PT,500,Internal Server Error,Thread Group 1-254,text,false,,15021,298,329,329,http://localhost:8084/PersonalTrainer/api/login,394,0,13
1595243136192,407,POST Login PT,500,Internal Server Error,Thread Group 1-224,text,false,,11739,298,329,329,http://localhost:8084/PersonalTrainer/api/login,407,0,27
1595243136159,441,POST Login PT,500,Internal Server Error,Thread Group 1-91,text,false,,15021,297,328,328,http://localhost:8084/PersonalTrainer/api/login,441,0,57
1595243136203,403,POST Login PT,500,Internal Server Error,Thread Group 1-255,text,false,,15021,298,329,329,http://localhost:8084/PersonalTrainer/api/login,402,0,14
1595243136155,451,POST Login PT,500,Internal Server Error,Thread Group 1-112,text,false,,15021,298,329,329,http://localhost:8084/PersonalTrainer/api/login,451,0,52
1595243136159,449,POST Login PT,500,Internal Server Error,Thread Group 1-4,text,false,,15021,297,330,330,http://localhost:8084/PersonalTrainer/api/login,449,0,59
1595243136144,469,POST Login PT,500,Internal Server Error,Thread Group 1-157,text,false,,15021,298,331,331,http://localhost:8084/PersonalTrainer/api/login,469,0,65
1595243136187,451,POST Login PT,500,Internal Server Error,Thread Group 1-219,text,false,,11739,298,352,352,http://localhost:8084/PersonalTrainer/api/login,451,0,32
1595243136159,481,POST Login PT,500,Internal Server Error,Thread Group 1-62,text,false,,15021,297,351,351,http://localhost:8084/PersonalTrainer/api/login,481,0,48
1595243136157,486,POST Login PT,500,Internal Server Error,Thread Group 1-42,text,false,,15021,297,351,351,http://localhost:8084/PersonalTrainer/api/login,486,0,58
1595243136173,473,POST Login PT,500,Internal Server Error,Thread Group 1-187,text,false,,15021,298,350,350,http://localhost:8084/PersonalTrainer/api/login,473,0,43
1595243136157,491,POST Login PT,500,Internal Server Error,Thread Group 1-89,text,false,,15021,297,351,351,http://localhost:8084/PersonalTrainer/api/login,491,0,51
1595243136176,475,POST Login PT,500,Internal Server Error,Thread Group 1-191,text,false,,15021,298,353,353,http://localhost:8084/PersonalTrainer/api/login,475,0,41
1595243136152,502,POST Login PT,500,Internal Server Error,Thread Group 1-63,text,false,,15021,297,358,358,http://localhost:8084/PersonalTrainer/api/login,502,0,57
1595243136154,504,POST Login PT,500,Internal Server Error,Thread Group 1-162,text,false,,15021,298,357,357,http://localhost:8084/PersonalTrainer/api/login,504,0,56
1595243136177,483,POST Login PT,500,Internal Server Error,Thread Group 1-193,text,false,,15021,298,358,358,http://localhost:8084/PersonalTrainer/api/login,483,0,40
1595243136152,511,POST Login PT,500,Internal Server Error,Thread Group 1-161,text,false,,15021,298,359,359,http://localhost:8084/PersonalTrainer/api/login,511,0,64
1595243136202,465,POST Login PT,500,Internal Server Error,Thread Group 1-251,text,false,,11739,298,360,360,http://localhost:8084/PersonalTrainer/api/login,465,0,19
1595243136179,492,POST Login PT,500,Internal Server Error,Thread Group 1-198,text,false,,15021,298,362,362,http://localhost:8084/PersonalTrainer/api/login,492,0,38
1595243136179,494,POST Login PT,500,Internal Server Error,Thread Group 1-196,text,false,,15021,298,362,362,http://localhost:8084/PersonalTrainer/api/login,494,0,38
1595243136158,515,POST Login PT,500,Internal Server Error,Thread Group 1-101,text,false,,15021,297,362,362,http://localhost:8084/PersonalTrainer/api/login,515,0,49
1595243136179,497,POST Login PT,500,Internal Server Error,Thread Group 1-197,text,false,,15021,298,360,360,http://localhost:8084/PersonalTrainer/api/login,497,0,38
1595243136193,489,POST Login PT,500,Internal Server Error,Thread Group 1-226,text,false,,15021,298,360,360,http://localhost:8084/PersonalTrainer/api/login,489,0,27
1595243136198,487,POST Login PT,500,Internal Server Error,Thread Group 1-235,text,false,,13832,298,365,365,http://localhost:8084/PersonalTrainer/api/login,487,0,22
